CountryCode,MatchesPlayed,Player,RedCards,YellowCards
NGA,4,Joseph YOBO,0,0
USA,4,DaMarcus BEASLEY,0,0
GRE,4,Georgios KARAGOUNIS,0,0
CRC,5,Christian BOLANOS,0,0
GER,5,Miroslav KLOSE,0,0
BRA,5,WILLIAN,0,0
NED,5,Dirk KUYT,0,0
COL,5,David OSPINA,0,0
NED,5,Nigel de Jong,0,0
CRC,5,Celso BORGES,0,0
ARG,5,Rodrigo PALACIO,0,0
BEL,5,Marouane FELLAINI,0,0
FRA,5,Karim Benzema,0,0
FRA,5,Hugo LLORIS,0,0
CRC,5,Cristian GAMBOA,0,0
CRC,5,Joel CAMPBELL,0,0
COL,5,Juan CUADRADO,0,0
NED,5,Daryl JANMAAT,0,0
BEL,5,Daniel VAN BUYTEN,0,0
BEL,5,Dries MERTENS,0,0
BEL,5,Thibaut COURTOIS,0,0
FRA,5,RaphaÃ«l VARANE,0,0
FRA,5,Olivier Giroud,0,0
FRA,5,Antoine Griezmann,0,0
BEL,5,Divock ORIGI,0,0
BRA,6,PAULINHO,0,0
GER,6,Mario GOETZE,0,0
GER,6,Mats HUMMELS,0,0
GER,6,Andre SCHUERRLE,0,0
ARG,6,Ezequiel LAVEZZI,0,0
BRA,6,FRED,0,0
BRA,6,Marcelo,0,0
GER,6,Per MERTESACKER,0,0
ARG,6,Fernando GAGO,0,0
NED,6,Wesley SNEIJDER,0,0
ARG,7,Pablo ZABALETA,0,0
GER,7,Manuel NEUER,0,0
NED,7,Ron VLAAR,0,0
ARG,7,Lionel MESSI,0,0
ARG,7,Gonzalo HIGUAIN,0,0
GER,7,Toni KROOS,0,0
BRA,7,DAVID LUIZ,0,0
GER,7,Mesut OEZIL,0,0
GER,7,Jerome BOATENG,0,0
GER,7,Thomas MUELLER,0,0
NED,7,Georginio Wijnaldum,0,0
NED,7,Jasper CILLESSEN,0,0
